record_id,record_type,title,record_key,source_name,headline,publisher,canonical_url,evidence_url,source_domain,reference_category,project_area,source_context,source_label,date_published,about_names,description,metadata,jsonld_type,source_page_url,original_block_hash_sha256,verification_status,interpretation_note,license
reference-wta-2018,citation_or_reference_record,Europe's Leading Marketing Campaign 2018,wta-2018,World Travel Awards,Europe's Leading Marketing Campaign 2018,,https://www.worldtravelawards.com/award-europes-leading-marketing-campaign-2018,,worldtravelawards.com,tourism_campaign_or_industry_reference,"[""travel_media""]",Europe's Leading Marketing Campaign (2018) • VisitBritain,"The ""Oscar"" of the Travel Industry",,[],World Travel Awards: Europe's Leading Marketing Campaign 2018. Context label: Europe's Leading Marketing Campaign (2018) • VisitBritain. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.,"{""Award Institution"": ""World Travel Awards (WTA)"", ""Government Partner"": ""VisitBritain (National Tourism Agency)"", ""Campaign Reach"": ""380+ Million Opportunities-To-See"", ""Production Scope"": ""Northern Ireland (Samuel) & London (Audrey)""}",Award,https://nomadicsamuel.com/media-citations-and-third-party-references,63ffbc18f4c837a50de78913a60e6d12534650d74ca1bb22ca24ee2b4e0db4ee,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-adnsur,citation_or_reference_record,Dos YouTubers canadienses visitaron Comodoro: qué impresión se llevaron,adnsur,ADNSUR,Dos YouTubers canadienses visitaron Comodoro: qué impresión se llevaron,ADNSUR,https://www.adnsur.com.ar/cultura---espectaculos/dos-youtubers-canadienses-visitaron-comodoro--que-impresion-se-llevaron_a6059c51ef1b26335fb4d3a94,https://www.adnsur.com.ar/cultura---espectaculos/dos-youtubers-canadienses-visitaron-comodoro--que-impresion-se-llevaron_a6059c51ef1b26335fb4d3a94,adnsur.com.ar,tourism_campaign_or_industry_reference,"[""travel_media"", ""argentina""]","Regional Economic Intelligence • Chubut, Argentina",Socio-Economic Analysis,,"[""Samuel & Audrey Media Network""]","ADNSUR: Dos YouTubers canadienses visitaron Comodoro: qué impresión se llevaron. Context label: Regional Economic Intelligence • Chubut, Argentina. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.","{""Agency"": ""ADNSUR (Southern Chubut)"", ""Key Metrics"": ""Cost of Living / Infrastructure"", ""Observation"": ""Digital Nomad Viability (Connectivity)"", ""Status"": ""Regional Livability Analysts""}",NewsArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,91f613e51a63325b2e92a94eda4998664b408c2b76fccdb04719c5bbda168531,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-aol,citation_or_reference_record,Warren Buffett vs. Elon Musk: Contrasting Investment Philosophies,aol,AOL Finance,Warren Buffett vs. Elon Musk: Contrasting Investment Philosophies,AOL Finance,https://www.aol.com/invest-warren-buffet-elon-musk-110143234.html,https://www.aol.com/invest-warren-buffet-elon-musk-110143234.html,aol.com,finance_media_or_research_reference,"[""finance""]",Mass Media Financial Authority • Buffett vs. Musk,Mainstream Wealth Education,,[],AOL Finance: Warren Buffett vs. Elon Musk: Contrasting Investment Philosophies. Context label: Mass Media Financial Authority • Buffett vs. Musk. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Platform"": ""AOL Finance (Mass Market)"", ""Topic"": ""Investment Philosophy (Buffett vs. Musk)"", ""Role"": ""noted Comparative Source"", ""Status"": ""Mainstream Financial Translator""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,6f82508d1df41e2d9bc50a567346ff56936c951482e14d27b8c621d451e4ac8c,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-yt-strategy,citation_or_reference_record,YouTube: Strategic channel for travel content creators,yt-strategy,Academia.edu Research,YouTube: Strategic channel for travel content creators,Academia.edu Publication,https://www.academia.edu/106560511/YouTube_canal_estrat%C3%A9gico_para_los_creadores_de_contenido_de_viajes_YouTube_strategic_channel_for_travel_content_creators,https://www.academia.edu/106560511/YouTube_canal_estrat%C3%A9gico_para_los_creadores_de_contenido_de_viajes_YouTube_strategic_channel_for_travel_content_creators,academia.edu,academic_or_research_reference,"[""travel_media""]",Strategic Channel Analysis • YouTube 2024,Top 5 Global Productivity,,"[""Samuel and Audrey (Samuel & Audrey Media Network)""]",Academia.edu Research: YouTube: Strategic channel for travel content creators. Context label: Strategic Channel Analysis • YouTube 2024. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Reference"": ""Global YouTube Strategy Study (2024)"", ""Production Tier"": ""Top 5 Worldwide (recognized Bracket)"", ""Consistency Metric"": ""120+ High-Quality Videos / Year"", ""Key Attribute"": ""Planned Narrative & Technical Excellence""}",ScholarlyArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,e3a8a1a00f76b29b3cdab8121ff3734599959c9e453554a5db97d03af6718bf4,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-marketing,citation_or_reference_record,Content marketing through youtube vlogs: a domestication theoretic approach,marketing,Academy of Marketing Studies,Content marketing through youtube vlogs: a domestication theoretic approach,Academy of Marketing Studies Journal,https://www.abacademies.org/articles/content-marketing-through-youtube-vlogs-a-domestication-theoretic-approach.pdf,https://www.abacademies.org/articles/content-marketing-through-youtube-vlogs-a-domestication-theoretic-approach.pdf,abacademies.org,academic_or_research_reference,"[""travel_media""]",Scientific Journal • Content Marketing Strategy,Professional Critique Model,,"[""Samuel and Audrey (Samuel & Audrey Media Network)""]",Academy of Marketing Studies: Content marketing through youtube vlogs: a domestication theoretic approach. Context label: Scientific Journal • Content Marketing Strategy. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Journal"": ""Academy of Marketing Studies"", ""Theoretical Framework"": ""Domestication Theory"", ""Brand Role"": ""Travel Expert / Professional Critic"", ""Publication Date"": ""July 30, 2024""}",ScholarlyArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,5c8bc26235344bcae088bccdbda5967d259f5be3f0769d16f3a42e66c6cd8225,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-fin,citation_or_reference_record,ATSX ETF Review: The Strategy Behind Accelerate Enhanced Canadian Benchmark Alternative Fund,fin,Accelerate Financial Technologies,ATSX ETF Review: The Strategy Behind Accelerate Enhanced Canadian Benchmark Alternative Fund,Accelerate Financial Technologies,https://accelerateshares.com/media/atsx-etf-review-the-strategy-behind-accelerate-enhanced-canadian-benchmark-alternative-fund-etf-with-julian-klymochko-nomadic-samuel/,https://accelerateshares.com/,accelerateshares.com,finance_media_or_research_reference,"[""finance"", ""travel_media""]",Institutional Asset Management • ETF Strategy,Financial Industry reference,,"[""ATSX ETF""]",Accelerate Financial Technologies: ATSX ETF Review: The Strategy Behind Accelerate Enhanced Canadian Benchmark Alternative Fund. Context label: Institutional Asset Management • ETF Strategy. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Institution"": ""Accelerate Financial Technologies"", ""Topics"": ""Alternative ETFs, Arbitrage, Long-Short"", ""Role"": ""Financial Analyst / Interviewer"", ""Status"": ""Verified Subject Matter Expert""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,356e2a38feecda8eeb4a6ecafe8d0ddef1515b83a2659c38c1b2d28c67353698,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-korea-ai,citation_or_reference_record,Adapting to Environmental Volatility: A Machine Learning Analysis of Stock Price Dynamics in the Korean Food Industry,korea-ai,Korea University,Adapting to Environmental Volatility: A Machine Learning Analysis of Stock Price Dynamics in the Korean Food Industry,Asian Journal of Business Environment,https://koreascience.kr/article/JAKO202523032402012.pdf,https://koreascience.kr/article/JAKO202523032402012.pdf,koreascience.kr,academic_or_research_reference,"[""finance""]",Asian Journal of Business Environment • AI Research,Machine Learning reference,,"[""Picture Perfect Portfolios""]",Korea University: Adapting to Environmental Volatility: A Machine Learning Analysis of Stock Price Dynamics in the Korean Food Industry. Context label: Asian Journal of Business Environment • AI Research. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Institution"": ""Korea University (Seoul)"", ""Methodology"": ""XGBoost & LSTM Neural Networks"", ""Reference Context"": ""Defensive Asset Characteristics"", ""Publication Date"": ""May 13, 2025""}",ScholarlyArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,1b8340385ca681f3109fb33b535d66dd8878a1ea800ab0f821fb283f080e828e,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-narrative,citation_or_reference_record,A Dangerous Business: Exploring Heroism in Travel Blogs Through Emphasis Framing,narrative,"Tourism, Culture & Communication",A Dangerous Business: Exploring Heroism in Travel Blogs Through Emphasis Framing,Cognizant Communication Corporation,https://www.ingentaconnect.com/content/cog/tcc/2020/00000020/00000004/art00001,https://www.ingentaconnect.com/content/cog/tcc/2020/00000020/00000004/art00001,ingentaconnect.com,academic_or_research_reference,"[""travel_media""]",Sociological Journal • Media Framing,Narrative Analysis Case Study,,"[""Nomadic Samuel (Samuel & Audrey Media Network)""]","Tourism, Culture & Communication: A Dangerous Business: Exploring Heroism in Travel Blogs Through Emphasis Framing. Context label: Sociological Journal • Media Framing. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.","{""Journal"": ""Tourism, Culture & Communication"", ""Key Archetype"": ""The \""Heroic\"" Traveler"", ""Methodology"": ""Emphasis Framing Analysis (400 Posts)"", ""Core Theme"": ""Overcoming Adversity & Risk""}",ScholarlyArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,c720503601890f60e9f156d5c5fc062fd6e23fd906e0297d3037ba9b86b198de,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-dnh,citation_or_reference_record,Budapest vlog! – How world-famous YouTubers see Hungary’s capital,dnh,Daily News Hungary,Budapest vlog! – How world-famous YouTubers see Hungary’s capital,Daily News Hungary,https://dailynewshungary.com/budapest-vlog-how-world-famous-youtubers-see-hungarys-capital/,https://dailynewshungary.com/budapest-vlog-how-world-famous-youtubers-see-hungarys-capital/,dailynewshungary.com,media_reference,"[""travel_media""]",National Media Archive • Cultural Impact Analysis,Mass Media Standard,,"[""Samuel & Audrey Media Network"", ""Samuel Jeffery"", ""Audrey Bergner""]",Daily News Hungary: Budapest vlog! – How world-famous YouTubers see Hungary’s capital. Context label: National Media Archive • Cultural Impact Analysis. This record is included as a media reference connected to the Samuel & Audrey Media Network archive.,"{""Entity"": ""Daily News Hungary (Leading Nat'l English News)"", ""Reach"": ""1M+ Monthly Pageviews / 160 Countries"", ""reference Category"": ""Global Influence & Media Impact"", ""Status"": ""Archival National Press Feature""}",NewsArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,41342cacbddf48843a5ce4e5d0b623a967a09355411b6a2494b05b6b4d85e83d,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-ecos,citation_or_reference_record,Volvió a Necochea después de 55 años y lo abordaron los recuerdos,ecos,Ecos Diarios,Volvió a Necochea después de 55 años y lo abordaron los recuerdos,Ecos Diarios,https://elecos.com.ar/como-viajar-en-el-tiempo-volvio-a-necochea-despues-de-55-anos-y-lo-abordaron-los-recuerdos,https://elecos.com.ar/como-viajar-en-el-tiempo-volvio-a-necochea-despues-de-55-anos-y-lo-abordaron-los-recuerdos,elecos.com.ar,media_reference,"[""travel_media"", ""argentina""]",National Heritage Record • Argentina Homecoming,Documentary Authority,,"[""Samuel & Audrey Media Network""]",Ecos Diarios: Volvió a Necochea después de 55 años y lo abordaron los recuerdos. Context label: National Heritage Record • Argentina Homecoming. This record is included as a media reference connected to the Samuel & Audrey Media Network archive.,"{""Institution"": ""Ecos Diarios (est. 1921)"", ""Context"": ""Historic 55-Year Homecoming"", ""Audience Metric"": ""373k+ YouTube / 51k+ Instagram"", ""Status"": ""referenced Cultural Custodians""}",NewsArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,8be870b5489c92817e386602951c7ecbe8113873a0bcb249d15ba3232b60477a,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-elgar,citation_or_reference_record,Travel Vlogs,elgar,Encyclopedia of Tourism,Travel Vlogs,Edward Elgar Publishing,https://www.elgaronline.com/configurable/content/book$002f9781800377486$002fb-9781800377486.travel.vlogs.xml,https://www.elgaronline.com/configurable/content/book$002f9781800377486$002fb-9781800377486.travel.vlogs.xml,elgaronline.com,tourism_campaign_or_industry_reference,"[""travel_media""]",Edward Elgar Publishing • Industry Standard,Institutional Definition,,"[""Samuel and Audrey (Samuel & Audrey Media Network)""]",Encyclopedia of Tourism: Travel Vlogs. Context label: Edward Elgar Publishing • Industry Standard. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.,"{""Publisher"": ""Edward Elgar Publishing (2022)"", ""Editor"": ""Dimitrios Buhalis"", ""Chapter"": ""\""Travel Vlogs\"" (pp 604–607)"", ""Status"": ""Defining Case Study""}",Chapter,https://nomadicsamuel.com/media-citations-and-third-party-references,4c9aac5af0a06deee1b2ffb31be1cf70a2b417d0801a98fe70669c6b95b186d7,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-elcomercio,citation_or_reference_record,Esto piensan dos turistas canadienses de nuestra salchipapa,elcomercio,El Comercio,Esto piensan dos turistas canadienses de nuestra salchipapa,El Comercio (Peru),https://elcomercio.pe/redes-sociales/youtube/esto-piensan-dos-turistas-canadienses-nuestra-salchipapa-237108-noticia/,https://elcomercio.pe/redes-sociales/youtube/esto-piensan-dos-turistas-canadienses-nuestra-salchipapa-237108-noticia/,elcomercio.pe,media_reference,"[""travel_media""]",National Archive of Peru • Cultural Impact Analysis,Legacy reference,,"[""Samuel & Audrey Media Network""]",El Comercio: Esto piensan dos turistas canadienses de nuestra salchipapa. Context label: National Archive of Peru • Cultural Impact Analysis. This record is included as a media reference connected to the Samuel & Audrey Media Network archive.,"{""Institution"": ""El Comercio (Founded 1839)"", ""reference Category"": ""Cultural Heritage Chronicle"", ""Institutional Rank"": ""Dean of the Peruvian Press"", ""experience and source context Status"": ""National Historical Reference""}",NewsArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,8df052be9833dcd8300e3ac83b7daab1b3ef902d33e590263f5b6c9faaa576ef,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-quant,citation_or_reference_record,Practical Alternatives to the 60-40 Portfolio,quant,Validea & Excess Returns,Practical Alternatives to the 60-40 Portfolio,Excess Returns Podcast,https://blog.validea.com/practical-alternatives-to-the-60-40-portfolio/,https://blog.validea.com/practical-alternatives-to-the-60-40-portfolio/,blog.validea.com,academic_or_research_reference,"[""finance"", ""travel_media""]",Quantitative Research • Institutional Podcast,Financial Innovation Case Study,,"[""Nomadic Samuel""]",Validea & Excess Returns: Practical Alternatives to the 60-40 Portfolio. Context label: Quantitative Research • Institutional Podcast. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Entity"": ""Validea / Excess Returns"", ""Topic"": ""Alternatives to 60/40 Portfolio"", ""Case Study"": ""Nomadic Samuel's \""framework Portfolio\"""", ""Status"": ""Innovative Asset Allocator""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,77eb8303cfa60111c5bb753e0b732a9cfb7c309503760a165cedd7959b474c37,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-hmi,citation_or_reference_record,Creator Coast: Nova Scotia Campaign Results,hmi,HMI Marketing,Creator Coast: Nova Scotia Campaign Results,HMI Marketing,https://hmi.marketing/creator-coast-nova-scotia/,https://hmi.marketing/creator-coast-nova-scotia/,hmi.marketing,tourism_campaign_or_industry_reference,"[""travel_media""]",Tourism Nova Scotia • Creator Coast Campaign,Official Regional Ambassador,,"[""Audrey & Samuel""]",HMI Marketing: Creator Coast: Nova Scotia Campaign Results. Context label: Tourism Nova Scotia • Creator Coast Campaign. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.,"{""Partner"": ""Tourism Nova Scotia / HMI"", ""Region"": ""Halifax (Capital City Ambassador)"", ""Impact"": ""6.7M+ Reach / 235k+ Engagement"", ""Status"": ""Proven Commercial Asset""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,ab270c9949d6416626438fc0ca0a506c120d5292a51a9ebf7e33e56b749100c3,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-huff,citation_or_reference_record,Travel Pictures of the Week: Bloggers Take Us From Mountains To...,huff,HuffPost,Travel Pictures of the Week: Bloggers Take Us From Mountains To...,HuffPost,https://www.huffpost.com/archive/ca/entry/travel-pictures-of-the-week-bloggers-take-us-from-mountains-to_n_2025735,https://www.huffpost.com/archive/ca/entry/travel-pictures-of-the-week-bloggers-take-us-from-mountains-to_n_2025735,huffpost.com,media_reference,"[""travel_media""]",Global Media Spotlight • Travel Pictures of the Week,Editor's Pick,,"[""Nomadic Samuel""]",HuffPost: Travel Pictures of the Week: Bloggers Take Us From Mountains To.... Context label: Global Media Spotlight • Travel Pictures of the Week. This record is included as a media reference connected to the Samuel & Audrey Media Network archive.,"{""Publication"": ""HuffPost (Global Edition)"", ""Feature"": ""Travel Pictures of the Week"", ""Attribute Cited"": ""Passion & Enthusiasm"", ""Status"": ""Curated Industry Leader""}",NewsArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,1465ad58dd138b94c33528197b2d7a23d33a283b2b6c8a51a6c9921f5b3d8b6a,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-imdb,citation_or_reference_record,Travel Guides with Samuel and Audrey,imdb,IMDb: Internet Movie Database,Travel Guides with Samuel and Audrey,IMDb,https://www.imdb.com/title/tt28080621/,https://www.imdb.com/title/tt28080621/,imdb.com,media_reference,"[""travel_media""]",Professional Industry Record • Documentary Series,Verified Production Credit,2017-10-04,[],IMDb: Internet Movie Database: Travel Guides with Samuel and Audrey. Context label: Professional Industry Record • Documentary Series. This record is included as a media reference connected to the Samuel & Audrey Media Network archive.,"{""Database"": ""IMDb (Amazon-Owned Industry Record)"", ""Production Type"": ""TV Series (Documentary)"", ""Credits Held"": ""Writer, Producer, Host"", ""Release Date"": ""October 4, 2017 (Canada)""}",TVSeries,https://nomadicsamuel.com/media-citations-and-third-party-references,dfdcfb1d9c18752109edae86747f3ec3f3cccf4fbbd5281a15366764ab74734e,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-cockroach,citation_or_reference_record,Cockroach Portfolio: A Protection Against Economic Crisis,cockroach,IJMCER: Academic Journal,Cockroach Portfolio: A Protection Against Economic Crisis,International Journal of Multidisciplinary Combined Research & Engineering,https://www.ijmcer.com/wp-content/uploads/2023/07/IJMCER_A05301014.pdf,https://www.ijmcer.com/wp-content/uploads/2023/07/IJMCER_A05301014.pdf,ijmcer.com,academic_or_research_reference,"[""finance""]",Economic Crisis Protection • Structural Alpha,Expanded Canvas Framework,,"[""Picture Perfect Portfolios""]",IJMCER: Academic Journal: Cockroach Portfolio: A Protection Against Economic Crisis. Context label: Economic Crisis Protection • Structural Alpha. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Journal"": ""IJMCER (ISSN: 2582-7421)"", ""Subject Matter"": ""Cockroach Portfolio (Mutiny Fund)"", ""Primary Source"": ""Picture Perfect Portfolios"", ""Key Framework"": ""Expanded Canvas (Offense vs. Defense)""}",ScholarlyArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,3375ff0557394cc2e8d266a41d0108e0632b181249d25c9a1680d180340853d1,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-jr,citation_or_reference_record,Japan Travel YouTube Channels to Follow to Plan Your Trip,jr,JRPass.com,Japan Travel YouTube Channels to Follow to Plan Your Trip,JRPass.com,https://www.jrpass.com/blog/japan-travel-youtube-channels-to-follow-to-plan-your-trip,https://www.jrpass.com/blog/japan-travel-youtube-channels-to-follow-to-plan-your-trip,jrpass.com,tourism_campaign_or_industry_reference,"[""travel_media""]",Official Logistics Portal • Japan Rail Pass,Recommended Planning Resource,,"[""Samuel & Audrey Media Network""]",JRPass.com: Japan Travel YouTube Channels to Follow to Plan Your Trip. Context label: Official Logistics Portal • Japan Rail Pass. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.,"{""Entity"": ""JRPass.com (Rail Logistics)"", ""Category"": ""Travel Vloggers Featuring Japan"", ""Function"": ""Visual Trip Planning Resource"", ""Status"": ""Trusted Logistical Guide""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,9d58aa1cd6d97cec24e93745ef490e491abda77c6c18dca1eaa736a4c4218269,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-blogville,citation_or_reference_record,BlogVille Case Study,blogville,iambassador & Italian Tourism Boards,BlogVille Case Study,Lombardia Tourism Board,https://www.iambassador.net/case-studies/blogville/,https://www.iambassador.net/case-studies/blogville/,iambassador.net,tourism_campaign_or_industry_reference,"[""travel_media""]",BlogVille Lombardia • Case Study: Global Strategy,Travel 2.0 Innovation Standard,,"[""Samuel Jeffery"", ""Audrey Bergner""]",iambassador & Italian Tourism Boards: BlogVille Case Study. Context label: BlogVille Lombardia • Case Study: Global Strategy. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.,"{""Organizations"": ""iambassador / Italy Tourism"", ""Status"": ""Primary Industry Case Study"", ""WTM London Award"": ""Best Travel 2.0 Innovation"", ""Project Scope"": ""1,200 Articles / 18 Million Reach""}",CreativeWork,https://nomadicsamuel.com/media-citations-and-third-party-references,71c64173ada737825a566737c338f7f56f85183bca35422acc837e57f65be646,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-luxalgo-v2,citation_or_reference_record,How to Maximize Sharpe Ratio in Trading Strategies,luxalgo-v2,LuxAlgo,How to Maximize Sharpe Ratio in Trading Strategies,LuxAlgo,https://www.luxalgo.com/blog/how-to-maximize-sharpe-ratio-in-trading-strategies/,https://www.luxalgo.com/blog/how-to-maximize-sharpe-ratio-in-trading-strategies/,luxalgo.com,finance_media_or_research_reference,"[""finance""]",Quant Tech • technical Strategy,Maximum Sharpe Reference,2025-02-21,"[""Picture Perfect Portfolios""]",LuxAlgo: How to Maximize Sharpe Ratio in Trading Strategies. Context label: Quant Tech • technical Strategy. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Publication Date"": ""Feb 21, 2025"", ""Core Metric"": ""Sharpe Ratio Optimization (S > 1.0)"", ""Cited Authority"": ""Picture Perfect Portfolios"", ""Key Concept"": ""Alternative Assets & Risk Parity""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,fe4592886f9771e4ebafa72bf0226698c3d597b41dd59be19294b6fd9a5bcfdd,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-mp,citation_or_reference_record,Best Machu Picchu Local Artisan Markets Guide 2025,mp,Machupicchu.org,Best Machu Picchu Local Artisan Markets Guide 2025,Machupicchu.org,https://www.machupicchu.org/best-machu-picchu-local-artisan-markets-guide-2025.htm,https://www.machupicchu.org/best-machu-picchu-local-artisan-markets-guide-2025.htm,machupicchu.org,tourism_campaign_or_industry_reference,"[""travel_media""]",Official Travel Resource • Cusco Guide,Heritage Education Standard,,"[""Samuel & Audrey Media Network""]",Machupicchu.org: Best Machu Picchu Local Artisan Markets Guide 2025. Context label: Official Travel Resource • Cusco Guide. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.,"{""Organization"": ""Machupicchu.org (Heritage Expert)"", ""Focus"": ""Indigenous Economic Support"", ""Integration"": ""Embedded Visual Guide (Cusco)"", ""Status"": ""Trusted Destination Resource""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,4d15cece679db4ea1b7c8e3ecb8b9092b94d6176bc52469df5b99a2c0825b4a3,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-moontower,citation_or_reference_record,Investment Blogs I Read: Picture Perfect Portfolios,moontower,Moontower Meta,Investment Blogs I Read: Picture Perfect Portfolios,Moontower Meta,https://notion.moontowermeta.com/investment-blogs-i-read,https://notion.moontowermeta.com/investment-blogs-i-read,notion.moontowermeta.com,finance_media_or_research_reference,"[""finance"", ""travel_media""]",Kris Abdelmessih • Institutional Practitioner reference,recognized Reading List Placement,,"[""Nomadic Samuel""]",Moontower Meta: Investment Blogs I Read: Picture Perfect Portfolios. Context label: Kris Abdelmessih • Institutional Practitioner reference. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Source"": ""Moontower Meta (Kris Abdelmessih)"", ""Technical Specialty"": ""Derivatives, Box Spreads, Return Stacking"", ""Placement Tier"": ""\""Virtuoso\"" / Practical Portfolio Topics"", ""Status"": ""Institutional-Grade Research Provider""}",CreativeWork,https://nomadicsamuel.com/media-citations-and-third-party-references,af98d2a02af9515602a2a299972bdc8a73a2cc5aedad2a448d4f9f3c59a89d43,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-mtlucas-complete,citation_or_reference_record,10 Things Investors Need to Know About Managed Futures Strategies,mtlucas-complete,Mt. Lucas Investment Management,10 Things Investors Need to Know About Managed Futures Strategies,Mt. Lucas Investment Management,https://www.mtlucas.com/post/picture-perfect-portfolios-10-things-investors-need-to-know-about-managed-futures-strategies,https://kraneshares.com/kmlm-etf-review-of-the-strategy-behind-kfa-mount-lucas-managed-futures-index-strategy/,mtlucas.com,finance_media_or_research_reference,"[""finance""]",Institutional Asset Manager • Founded 1986,Strategic Educational Partner,,"[""KFA Mount Lucas Managed Futures Index Strategy ETF""]",Mt. Lucas Investment Management: 10 Things Investors Need to Know About Managed Futures Strategies. Context label: Institutional Asset Manager • Founded 1986. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Primary Institution"": ""Mt. Lucas Investment Management"", ""Strategy Focus"": ""KFA Mount Lucas Managed Futures Index"", ""Issuer Partner"": ""KraneShares / KFA Funds"", ""reference Level"": ""Direct Institutional Hosting""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,a1cc9ea0158109be67e270aea065f2ad6222d6c51aaeabf568fb1d0b84b74236,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
